Time;/Nodes/Agadyr_F/u220/archivesS/u_n_ras
2023-01-03 06:51:13;231.853
2023-01-03 06:51:14;231.853
2023-01-03 06:51:15;231.853
2023-01-03 06:51:16;231.853
2023-01-03 06:51:17;231.853
2023-01-03 06:51:18;231.853
2023-01-03 06:51:19;231.853
2023-01-03 06:51:20;231.853
2023-01-03 06:51:21;231.853
2023-01-03 06:51:22;231.853
2023-01-03 06:51:23;231.853
2023-01-03 06:51:24;231.853
2023-01-03 06:51:25;231.853
2023-01-03 06:51:26;231.853
2023-01-03 06:51:27;231.853
2023-01-03 06:51:28;231.853
2023-01-03 06:51:29;231.853
2023-01-03 06:51:30;231.853
2023-01-03 06:51:31;231.853
2023-01-03 06:51:32;231.853
2023-01-03 06:51:33;231.853
2023-01-03 06:51:34;231.64594
2023-01-03 06:51:35;231.643
2023-01-03 06:51:36;231.643
2023-01-03 06:51:37;231.643
2023-01-03 06:51:38;231.643
2023-01-03 06:51:39;231.643
2023-01-03 06:51:40;231.643
2023-01-03 06:51:41;231.643
2023-01-03 06:51:42;231.643
2023-01-03 06:51:43;231.643
2023-01-03 06:51:44;231.643
2023-01-03 06:51:45;231.643
2023-01-03 06:51:46;231.643
2023-01-03 06:51:47;231.643
2023-01-03 06:51:48;231.643
2023-01-03 06:51:49;231.643
2023-01-03 06:51:50;231.643
2023-01-03 06:51:51;231.643
2023-01-03 06:51:52;231.643
2023-01-03 06:51:53;231.643
2023-01-03 06:51:54;231.643
2023-01-03 06:51:55;231.643
2023-01-03 06:51:56;231.643
2023-01-03 06:51:57;231.643
2023-01-03 06:51:58;231.643
2023-01-03 06:51:59;231.643
2023-01-03 06:52:00;231.643
2023-01-03 06:52:01;231.643
2023-01-03 06:52:02;231.54459400000002
2023-01-03 06:52:03;231.544
2023-01-03 06:52:04;231.544
2023-01-03 06:52:05;231.544
2023-01-03 06:52:06;231.544
2023-01-03 06:52:07;231.544
2023-01-03 06:52:08;231.544
2023-01-03 06:52:09;231.544
2023-01-03 06:52:10;231.544
2023-01-03 06:52:11;231.544
2023-01-03 06:52:12;231.544
2023-01-03 06:52:13;231.544
2023-01-03 06:52:14;231.544
2023-01-03 06:52:15;231.544
2023-01-03 06:52:16;231.544
2023-01-03 06:52:17;231.544
2023-01-03 06:52:18;231.544
2023-01-03 06:52:19;231.544
2023-01-03 06:52:20;231.544
2023-01-03 06:52:21;231.544
2023-01-03 06:52:22;231.544
2023-01-03 06:52:23;231.544
2023-01-03 06:52:24;231.544
2023-01-03 06:52:25;231.544
2023-01-03 06:52:26;231.544
2023-01-03 06:52:27;231.544
2023-01-03 06:52:28;231.544
2023-01-03 06:52:29;231.544
2023-01-03 06:52:30;231.544
2023-01-03 06:52:31;231.531429
2023-01-03 06:52:32;231.531
2023-01-03 06:52:33;231.531
2023-01-03 06:52:34;231.531
2023-01-03 06:52:35;231.531
2023-01-03 06:52:36;231.531
2023-01-03 06:52:37;231.531
2023-01-03 06:52:38;231.531
2023-01-03 06:52:39;231.531
2023-01-03 06:52:40;231.531
2023-01-03 06:52:41;231.531
2023-01-03 06:52:42;231.531
2023-01-03 06:52:43;231.531
2023-01-03 06:52:44;231.531
2023-01-03 06:52:45;231.531
2023-01-03 06:52:46;231.531
2023-01-03 06:52:47;231.531
2023-01-03 06:52:48;231.531
2023-01-03 06:52:49;231.531
2023-01-03 06:52:50;231.531
2023-01-03 06:52:51;231.531
2023-01-03 06:52:52;231.531
2023-01-03 06:52:53;231.531
2023-01-03 06:52:54;231.531
2023-01-03 06:52:55;231.531
2023-01-03 06:52:56;231.531
2023-01-03 06:52:57;231.531
2023-01-03 06:52:58;231.531
2023-01-03 06:52:59;231.531
2023-01-03 06:53:00;231.531
2023-01-03 06:53:01;231.531
2023-01-03 06:53:02;231.531
2023-01-03 06:53:03;231.531
2023-01-03 06:53:04;231.55074
2023-01-03 06:53:05;231.551
